Index,demand
0,0.03733306488740042
1,0.01911345893315569
2,0.027833285760972097
3,0.04123813703284035
4,0.07601587271766254
5,0.016017249940301674
6,0.03276550317019347
7,0.1572518475682864
8,0.038852543609391874
9,0.05958196078978533
10,0.026894827725428845
11,0.237654333886172
12,0.22900119497825888
13,0.03424437367986985
14,0.1001318722931746
15,0.04328691779116223
16,0.11668901261513348
17,0.03488095292418301
18,0.08934206795759808
19,0.04841112604380023
20,0.012653778358660283
21,0.01757184688375586
22,0.10510343339292455
23,0.03998991692212768
24,0.43608034373037596
25,0.10699505745368783
26,0.03285600819999835
27,0.1153801120694001
28,0.0350495241799005
29,0.0196697973734281
30,0.019117915524514344
31,0.032250372274706424
32,0.023116215447026692
33,0.07790786420533628
34,0.21052706854663417
35,0.45680727697371026
36,0.0550332273147798
37,0.03499344752036844
38,0.07390176504575964
39,0.11185180172375403
40,0.010764599509044508
41,0.009316280257324096
42,0.017079636022701683
43,0.045515447301521475
44,0.021930794402252735
45,0.04578772235638437
46,0.0677989971832291
47,0.4154364824665729
48,0.08291767170207397
49,0.07928738006600121
50,0.28021861979408
51,0.04623858417630346
52,0.016890496764353752
53,0.18877478203259085
54,0.011656648084440432
55,0.05262048702480609
56,0.11950894785195186
57,0.02903821521187256
58,0.02825789249056522
59,0.03814264958440294
60,0.012249048993612722
61,0.06962407694728995
62,0.11346701137990077
63,0.051591785283432945
64,0.02077301239261763
65,0.3388068076093989
66,0.02608451157636521
67,0.03861181415894856
68,0.03306249682401186
69,0.047986101178565735
70,0.025763720494128436
71,0.029471465804193478
72,0.027306384192884767
73,0.06461823490778239
74,0.02697483544360662
75,0.03134607091327191
76,0.045779287115694844
77,0.09532871119984368
78,0.133883056726264
79,0.05135854488265565
80,0.032838140431139806
81,0.009214440806226534
82,0.013477282999504804
83,0.0729511661378921
84,0.068535656665586
85,0.040205961957321894
86,0.1331112284606454
87,0.37508530377112764
88,0.06934647303967127
89,0.03317764039967269
90,0.017910789981109048
91,0.04441623069281071
92,0.09177765950331294
93,0.11327193008368316
94,0.17269312706612575
95,0.01994386622025635
96,0.04856781711904115
97,0.03627473595846008
98,0.01298184366958911
99,0.009844629013358551
100,0.0232540534830961
101,0.03845660385585319
102,0.02588229242689506
103,0.1378052757688949
104,0.0476223989102791
105,0.029928721544048846
106,0.026189677743044745
107,0.07787779165704585
108,0.456266849753555
109,0.03561431986076045
110,0.02194146764771597
111,0.026638151229773376
112,0.04590231439277156
113,0.04971803742697065
114,0.020320077687544517
115,0.10752714478228836
116,0.14212235504871737
117,0.09973594890015963
118,0.07788124647113527
119,0.03534657321341844
120,0.0156927113669423
121,0.030317112176494965
122,0.02874025290914108
123,0.03601939803784887
124,0.030214352190341943
125,0.0451005808699383
126,0.05841749347332087
127,0.23216323015540355
128,0.037237236497590996
129,0.0624971634160401
130,0.04575278334820283
131,0.021466305772780032
132,0.023428159960934003
